Index,min,max,avg,std
Internal Density,0.00513919322478943,0.25,0.11837973107492981,0.10080530594316223
Edges inside,1.0,55585.0,18530.0,26201.841805491462
Average Degree,1.0,47.7944969905417,16.798165663513903,21.91908478626429
FOMD,1.0,1.0,1.0,0.0
TPR,0.0,0.9329320722269991,0.31097735740899973,0.43978839643875267
Expansion,0.0,0.8,0.2672398968185727,0.37671893589273303
Cut Ratio,0.0,0.0003436426116838488,0.00019643755892880533,0.0001445462806839301
Conductance,0.0,0.3333333333333333,0.1111231043229532,0.15712636046882295
Normalized Cut,0.0,0.33336930973281526,0.17174115706217444,0.1362851882666169
Maximum-ODF,0.0,3.0,1.6666666666666667,1.247219128924647
Average-ODF,0.0,0.8,0.2672398968185727,0.37671893589273303
Flake-ODF,0.0,0.0,0.0,0.0
